attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
265,572,9774,326,69,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
266,573,9774,326,77,"a:1:{i:0;s:4:"1225";}",1.00,0.00,0.00,0
267,573,9774,328,77,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
268,573,9774,330,77,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
269,573,9774,329,77,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
270,573,9774,327,77,"a:1:{i:0;s:4:"1227";}",1.00,0.00,0.00,0
271,393,9774,328,80,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
272,393,9774,329,80,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
273,393,9774,326,80,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
274,393,9774,327,80,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
275,393,9774,330,80,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
276,560,9774,328,72,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
277,560,9774,329,72,"a:1:{i:0;s:4:"1235";}",1.00,0.00,0.00,0
278,560,9774,330,72,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
279,560,9774,326,72,"a:1:{i:0;s:4:"1223";}",1.00,0.00,0.00,0
280,560,9774,327,72,"a:1:{i:0;s:4:"1227";}",1.00,0.00,0.00,0
281,393,9774,328,80,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
282,393,9774,329,80,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
283,393,9774,326,80,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
284,393,9774,327,80,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
285,393,9774,330,80,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
286,572,9774,327,69,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
287,572,9774,328,69,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
288,572,9774,330,69,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
289,572,9774,329,69,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
290,572,9774,326,69,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
291,574,9774,327,71,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
292,574,9774,329,71,"a:1:{i:0;s:4:"1235";}",1.00,0.00,0.00,0
293,574,9774,330,71,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
294,574,9774,328,71,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
295,574,9774,326,71,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
296,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
297,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
298,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
299,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
300,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
301,587,9774,330,90,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
302,587,9774,329,90,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
303,587,9774,327,90,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
304,587,9774,328,90,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
305,587,9774,326,90,"a:1:{i:0;s:4:"1222";}",1.00,0.00,0.00,0
306,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
307,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
308,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
309,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
310,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
311,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
312,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
313,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
314,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
315,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
316,579,9774,330,82,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
317,579,9774,327,82,"a:1:{i:0;s:4:"1229";}",1.00,0.00,0.00,0
318,579,9774,326,82,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
319,579,9774,329,82,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
320,579,9774,328,82,"a:1:{i:0;s:4:"1232";}",1.00,0.00,0.00,0
321,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
322,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
323,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
324,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
325,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
326,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
327,567,9774,330,87,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
328,567,9774,328,87,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
329,567,9774,326,87,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
330,567,9774,327,87,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
331,580,9774,329,70,"a:1:{i:0;s:4:"1235";}",1.00,0.00,0.00,0
332,580,9774,326,70,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
333,580,9774,330,70,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
334,580,9774,327,70,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
335,580,9774,328,70,"a:1:{i:0;s:4:"1232";}",1.00,0.00,0.00,0
336,567,9774,329,87,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
